col_1,col_2
16,70
42,47
64,45
50,0
47,60
71,14
40,55
71,59
48,6
95,29
21,39
90,49
21,64
26,36
75,0
15,3
22,93
78,36
49,52
46,71
2,42
34,4
65,69
35,28
22,30
21,36
96,56
78,13
55,6
63,36
96,11
48,37
81,67
26,17
54,94
57,43
22,84
10,76
55,89
21,98
61,38
84,90
76,48
63,55
97,98
28,36
4,10
60,58
91,91
89,88
92,89
10,85
55,51
13,13
44,47
88,60
23,25
69,78
61,30
3,11
21,90
87,77
25,18
55,80
99,83
100,15
30,40
70,21
62,38
88,63
85,28
13,41
76,89
7,29
98,72
68,45
91,67
41,36
89,70
87,7
21,40
81,99
69,52
91,99
5,64
75,82
91,48
70,67
97,63
68,91
64,43
69,32
40,88
11,27
56,16
69,23
20,84
74,45
65,88
80,38
21,26
11,85
50,42
94,22
60,81
0,31
100,62
16,35
31,67
15,26
93,63
34,34
70,44
18,62
24,29
65,47
31,21
88,93
26,96
76,7
81,41
88,60
10,79
35,99
32,84
83,41
43,41
24,46
42,21
77,56
42,16
84,0
41,8
95,39
98,87
82,28
60,99
8,96
5,31
20,68
59,94
78,26
50,17
23,22
32,75
52,5
7,4
83,39
63,7
73,57
44,31
96,9
87,82
1,50
35,30
18,32
38,46
87,99
84,22
12,13
79,39
61,2
43,80
97,4
17,80
95,47
42,52
18,84
31,30
5,8
14,35
57,77
6,54
68,19
60,10
83,2
3,41
27,40
40,25
76,50
27,72
6,95
93,17
30,40
26,90
45,74
81,15
63,47
28,47
34,60
30,92
16,48
12,20
45,6
95,59
100,57
13,75
95,31
99,51
71,70
35,5
71,62
77,36
24,26
16,40
90,34
100,37
28,97
80,93
45,92
50,37
34,12
97,98
89,100
47,30
24,82
61,11
87,45
93,66
18,2
3,17
79,65
3,39
38,47
25,56
22,65
42,90
50,30
50,41
60,96
89,9
24,6
58,58
99,10
37,69
1,78
9,27
35,18
75,83
47,31
87,2
67,87
88,23
84,33
45,100
81,58
88,96
78,32
70,34
78,51
4,46
24,59
82,80
86,62
16,9
54,30
53,75
30,77
35,51
4,64
41,3
33,51
46,99
32,50
56,33
65,95
63,54
54,21
61,44
12,72
97,92
36,8
73,56
45,68
48,42
25,44
62,12
35,41
79,83
100,60
34,9
80,81
99,16
66,39
87,1
49,34
29,41
91,87
94,86
92,45
97,52
45,44
82,39
30,56
84,41
24,100
60,42
97,36
4,59
60,33
31,20
43,94
28,22
87,81
79,13
79,48
36,14
31,10
13,13
62,41
18,6
77,38
1,69
78,71
77,78
59,100
87,67
80,49
44,97
66,1
68,35
63,21
22,54
12,84
42,55
98,53
23,34
54,72
60,26
96,59
66,4
35,1
64,49
3,57
67,54
84,14
17,41
43,30
46,90
55,49
55,87
79,30
92,87
76,68
75,44
29,34
28,52
77,9
27,4
85,62
7,57
90,73
20,82
63,34
91,77
40,14
41,84
18,37
6,0
8,88
27,97
75,54
19,87
14,58
29,75
49,76
30,89
81,40
12,97
39,49
2,23
25,39
97,17
45,19
78,48
29,67
40,64
92,44
67,76
0,11
19,51
73,41
21,2
22,56
7,0
46,86
10,10
83,5
70,23
82,86
40,16
41,34
36,18
35,47
46,60
9,77
3,35
34,2
45,70
13,24
24,3
59,96
95,7
27,63
31,59
10,50
88,92
46,75
25,49
60,17
84,6
44,93
85,49
86,51
69,89
1,95
27,43
79,19
86,51
37,94
13,47
98,14
71,17
95,14
24,28
18,30
69,8
72,33
53,2
11,9
20,31
9,35
25,36
65,17
9,11
3,15
23,21
49,78
90,58
55,63
30,22
74,52
37,0
72,72
37,80
83,78
22,90
82,65
2,95
48,45
45,33
66,32
50,49
35,19
65,28
94,43
55,3
37,13
67,36
74,8
26,33
15,2
40,9
6,54
74,22
41,63
57,40
22,74
81,66
35,91
52,0
53,4
72,33
38,77
40,1
11,18
24,50
49,99
10,83
67,49
67,58
60,6
8,92
61,25
7,36
99,49
92,46
5,56
91,53
1,5
76,42
16,75
41,36
27,37
68,83
75,54
40,50
50,92
13,3
38,47
86,61
74,21
24,13
43,43
52,34
56,28
55,37
61,22
67,24
65,71
93,18
82,61
81,41
62,65
79,62
89,99
72,97
99,79
35,31
78,44
17,74
46,65
81,29
72,42
0,14
15,95
49,90
91,25
10,3
24,51
30,36
17,1
22,93
64,50
66,59
95,90
56,33
60,30
27,94
6,20
25,54
58,78
38,87
27,85
48,59
97,15
4,89
19,58
75,35
14,22
56,67
98,68
75,99
20,12
66,51
72,32
38,77
87,9
99,75
2,76
3,32
41,15
23,45
78,25
44,56
28,46
25,73
19,63
7,100
81,0
33,50
88,67
20,68
32,77
31,47
15,27
64,0
98,51
48,37
53,6
61,30
0,17
59,68
49,34
38,82
39,44
35,30
43,79
26,60
63,78
31,6
50,20
93,23
38,68
9,1
38,13
0,6
72,39
0,90
31,29
61,74
39,62
7,63
93,99
94,65
86,49
53,87
6,47
46,39
81,31
19,41
