col_1,col_2
54,93
57,3
94,97
67,4
45,98
8,76
93,14
51,66
4,63
0,55
71,62
63,49
7,32
63,38
98,38
56,76
63,81
68,60
26,43
34,32
49,3
64,26
49,8
3,11
49,59
88,1
56,66
72,8
32,86
46,52
17,8
96,75
20,30
95,43
28,97
34,98
68,48
24,19
33,98
16,88
32,38
87,45
37,26
61,83
37,3
48,9
28,87
53,53
64,98
20,81
45,23
35,26
91,6
21,13
39,13
64,62
48,24
30,64
39,69
48,20
13,59
62,50
54,77
79,60
53,52
85,80
97,100
60,15
25,29
12,93
20,64
35,81
36,68
47,9
98,40
70,80
98,39
70,16
40,36
9,71
95,30
44,94
64,97
57,8
16,0
96,9
56,91
68,45
59,30
61,58
58,34
75,29
86,6
18,95
17,79
45,59
66,60
31,89
65,68
22,52
80,6
97,42
99,24
89,66
48,47
41,0
74,17
13,75
13,63
35,91
39,55
3,65
6,78
41,10
9,9
78,25
0,9
78,90
88,76
66,76
35,57
68,57
60,12
9,33
74,35
57,93
46,87
33,1
70,32
29,85
0,88
29,83
9,28
51,25
48,31
15,45
64,78
34,70
49,93
43,93
60,69
95,55
29,11
1,34
44,13
61,45
31,72
51,93
56,100
27,89
88,73
30,61
35,34
2,65
59,81
99,22
99,50
77,22
34,62
0,29
74,74
14,92
3,42
21,61
82,56
16,49
26,8
66,77
84,56
53,98
6,24
77,80
13,74
50,82
11,50
21,21
59,45
75,59
9,24
29,24
31,15
43,74
35,77
99,15
18,28
47,41
7,4
42,34
26,52
33,84
69,100
9,85
60,97
21,29
72,89
0,17
12,34
8,21
22,6
78,77
49,0
36,39
53,74
25,16
98,32
58,70
33,2
20,47
44,90
24,67
61,35
95,82
33,11
95,67
30,6
60,57
78,1
65,52
12,33
48,65
70,77
40,59
2,64
79,56
2,64
24,59
7,34
91,32
49,74
17,94
27,67
78,18
44,100
94,21
1,83
84,26
5,41
90,22
45,86
49,4
62,36
4,57
44,66
11,65
58,46
3,65
62,47
27,80
80,85
70,51
80,44
83,11
69,26
96,1
88,83
8,37
50,16
29,48
80,76
93,56
31,73
40,51
72,88
33,51
40,86
68,48
84,28
57,5
72,70
100,31
22,33
95,14
97,81
57,98
78,73
28,86
87,7
59,21
87,42
15,2
68,33
74,60
17,29
63,56
79,13
81,17
95,17
99,78
60,19
77,19
49,100
56,25
64,92
63,98
0,94
74,27
95,67
38,92
4,98
53,58
14,38
45,27
38,57
57,89
57,45
16,35
43,98
22,4
8,49
7,39
44,24
76,43
94,81
43,33
85,22
91,15
27,80
14,56
28,13
68,97
82,3
18,60
17,49
64,3
17,16
14,48
43,45
3,48
55,6
16,31
87,52
7,46
74,50
41,98
20,6
36,48
3,29
98,35
3,88
21,63
94,67
26,99
36,82
79,13
85,94
97,80
75,58
54,11
14,45
78,34
91,16
99,43
53,4
79,88
49,5
41,52
52,73
97,14
57,16
39,66
90,79
44,33
73,7
23,29
36,24
71,41
40,13
41,5
93,48
26,49
36,3
30,97
6,99
80,4
76,66
64,15
25,56
72,21
20,18
59,93
80,19
29,30
99,40
68,30
2,97
52,50
64,79
72,24
72,85
69,7
30,48
38,48
90,80
20,48
54,47
84,72
8,56
17,65
50,44
28,99
28,4
30,16
46,90
68,69
16,65
30,37
23,29
7,51
43,16
73,49
46,51
67,67
49,60
40,58
96,90
65,74
10,50
81,67
91,59
32,49
11,65
11,6
30,27
11,55
60,88
39,55
29,61
53,81
10,44
30,42
70,28
74,99
8,71
7,80
82,68
99,9
9,34
37,36
53,79
91,20
67,79
31,97
21,26
21,69
19,94
74,73
19,46
63,68
33,21
11,81
98,11
28,5
31,78
28,29
35,25
44,58
21,72
44,27
97,55
38,96
48,78
47,40
48,15
26,50
40,80
36,68
82,56
61,61
98,29
28,69
51,73
89,88
95,27
89,24
31,49
52,71
21,2
50,1
21,18
61,19
13,17
4,8
52,91
81,64
25,18
9,2
36,51
29,37
70,90
20,95
47,32
84,15
17,20
80,57
15,26
20,92
78,10
100,73
77,19
69,8
99,14
75,18
11,0
26,94
77,31
20,43
28,83
65,10
6,69
96,69
50,55
93,61
25,9
98,65
11,59
87,25
29,98
34,56
88,56
27,76
97,38
55,21
23,36
34,36
80,92
31,55
66,45
14,30
70,31
26,24
52,56
0,37
2,36
54,4
11,77
87,0
48,35
68,58
61,12
33,87
37,69
73,3
47,79
34,90
39,62
88,67
24,40
0,35
59,26
42,98
51,87
77,4
22,60
35,98
62,40
28,62
60,36
15,35
0,69
67,68
95,78
16,83
46,78
81,56
99,43
47,11
6,14
49,17
32,34
92,52
8,63
65,31
1,89
83,63
66,31
12,100
82,29
30,6
33,28
55,47
39,0
94,67
80,15
73,55
20,1
95,83
91,67
100,100
5,96
37,43
97,46
15,48
59,76
58,39
43,97
45,63
92,12
24,74
33,75
13,95
100,91
99,70
89,2
32,17
18,13
27,17
90,81
50,87
61,57
99,62
45,78
87,68
77,47
67,9
72,52
6,18
51,9
78,81
49,84
14,31
7,39
95,24
14,21
92,5
6,11
14,39
75,7
10,72
19,65
30,47
24,16
79,78
17,4
65,6
5,61
57,68
90,53
65,97
66,47
38,3
8,81
55,21
24,35
30,36
3,28
84,5
13,71
40,21
72,30
79,50
99,77
73,59
93,82
32,30
6,37
81,7
43,67
94,86
19,44
88,17
91,26
1,9
80,37
78,69
31,35
74,14
24,95
52,80
81,39
19,84
1,86
29,50
12,84
80,21
44,93
36,81
22,88
91,61
32,96
19,9
11,31
14,25
78,42
58,86
91,20
58,10
15,41
54,66
99,53
2,9
16,93
24,35
88,34
43,4
13,96
65,90
59,0
49,95
5,24
71,4
92,39
75,27
89,92
57,21
50,61
91,29
44,51
13,41
85,80
89,72
11,60
46,12
97,11
77,82
44,54
38,51
22,25
24,43
88,19
45,33
48,99
49,15
86,84
30,9
38,22
25,93
39,59
94,59
38,30
16,39
53,45
10,3
98,88
85,12
47,71
29,86
68,9
10,95
100,2
22,54
62,21
87,85
60,46
85,23
15,82
35,34
53,66
63,98
6,51
8,52
55,84
99,20
14,74
89,66
47,44
64,12
67,96
81,47
92,64
16,76
15,24
76,1
76,93
36,31
90,86
99,98
92,81
95,64
40,91
40,76
6,92
73,12
79,33
77,64
69,92
39,1
95,0
34,3
53,96
43,84
97,89
13,40
9,84
